"species"	"site"	"season"	"count"
"3"	"60"	"2"	0
"4"	"60"	"2"	4
"5"	"60"	"2"	0
"1"	"61"	"2"	1
"2"	"61"	"2"	0
"3"	"61"	"2"	5
"4"	"61"	"2"	13
"5"	"61"	"2"	1
"1"	"62"	"2"	0
"2"	"62"	"2"	0
"3"	"62"	"2"	2
"4"	"62"	"2"	0
"5"	"62"	"2"	10
"1"	"63"	"2"	0
"2"	"63"	"2"	0
"3"	"63"	"2"	0
"4"	"63"	"2"	2
"5"	"63"	"2"	0
"1"	"64"	"2"	3
"2"	"64"	"2"	0
"3"	"64"	"2"	0
"4"	"64"	"2"	3
"5"	"64"	"2"	10
"1"	"65"	"2"	0
"2"	"65"	"2"	0
"3"	"65"	"2"	0
"4"	"65"	"2"	0
"5"	"65"	"2"	0
"1"	"66"	"2"	1
"2"	"66"	"2"	0
"3"	"66"	"2"	0
"4"	"66"	"2"	0
"5"	"66"	"2"	0
"1"	"67"	"2"	0
"2"	"67"	"2"	0
"3"	"67"	"2"	0
"4"	"67"	"2"	0
"5"	"67"	"2"	0
"1"	"68"	"2"	1
"2"	"68"	"2"	0
"3"	"68"	"2"	0
"4"	"68"	"2"	0
"5"	"68"	"2"	0
"1"	"69"	"2"	0
"2"	"69"	"2"	0
"3"	"69"	"2"	0
"4"	"69"	"2"	0
"5"	"69"	"2"	0
"1"	"70"	"2"	0
"2"	"70"	"2"	0
"3"	"70"	"2"	0
"4"	"70"	"2"	0
"5"	"70"	"2"	0
"1"	"71"	"2"	NA
"2"	"71"	"2"	NA
"3"	"71"	"2"	NA
"4"	"71"	"2"	NA
"5"	"71"	"2"	NA
"1"	"72"	"2"	0
"2"	"72"	"2"	0
"3"	"72"	"2"	0
"4"	"72"	"2"	0
"5"	"72"	"2"	0
"1"	"73"	"2"	0
"2"	"73"	"2"	0
"3"	"73"	"2"	0
"4"	"73"	"2"	1
"5"	"73"	"2"	0
"1"	"74"	"2"	NA
"2"	"74"	"2"	NA
"3"	"74"	"2"	NA
"4"	"74"	"2"	NA
"5"	"74"	"2"	NA
"1"	"75"	"2"	0
"2"	"75"	"2"	0
"3"	"75"	"2"	0
"4"	"75"	"2"	1
"5"	"75"	"2"	0
"1"	"76"	"2"	0
"2"	"76"	"2"	0
"3"	"76"	"2"	0
"4"	"76"	"2"	0
"5"	"76"	"2"	0
"1"	"77"	"2"	0
"2"	"77"	"2"	0
"3"	"77"	"2"	0
"4"	"77"	"2"	0
"5"	"77"	"2"	4
"1"	"78"	"2"	0
"2"	"78"	"2"	0
"3"	"78"	"2"	0
"4"	"78"	"2"	0
"5"	"78"	"2"	0
"1"	"79"	"2"	2
"2"	"79"	"2"	4
"3"	"79"	"2"	0
"4"	"79"	"2"	3
"5"	"79"	"2"	1
"1"	"80"	"2"	1
"2"	"80"	"2"	0
"3"	"80"	"2"	0
"4"	"80"	"2"	0
"5"	"80"	"2"	1
"1"	"81"	"2"	1
"2"	"81"	"2"	0
"3"	"81"	"2"	0
"4"	"81"	"2"	2
"5"	"81"	"2"	0
"1"	"82"	"2"	4
